problem,algorithm,metric,direction,n_runs,median,iqr,mean,std,min,max,n_unsupported,n_failed
DTLZ2_n_obj3,MOSADE,hv,higher,31,18.002498554943354,0.013300198661504226,18.000377934539063,0.01300833163430933,17.95818826793231,18.02119799900126,0,0
DTLZ2_n_obj3,MOSADE,igd,lower,31,0.04950514939865299,0.002781005458371337,0.0496584833912232,0.001966066475860101,0.04560437994802025,0.05327247148514437,0,0
DTLZ2_n_obj3,MOSADE,igd_plus,lower,31,0.025223262815618014,0.0019196643685276266,0.025476423973763377,0.001467847959568578,0.023115447719014616,0.029846695123888125,0,0
DTLZ2_n_obj3,MOSADE,gd,lower,31,0.004475311114698153,0.0017063704082506928,0.004938538939866912,0.00135356409661377,0.0036400186711982537,0.008294333961877363,0,0
DTLZ2_n_obj3,MOSADE,spread,lower,31,0.02856969418717421,0.014409029860655335,0.03575146332072893,0.014298152182200473,0.022414814672514348,0.07894525941182581,0,0
DTLZ2_n_obj3,MOSADE,time_s,lower,31,668.9686834999884,12.014849649975076,664.6028479193525,35.80838084040357,478.27256650000345,695.9754012000049,0,0
DTLZ2_n_obj3,MOSADE_no_restart,hv,higher,31,17.99310645054662,0.024085618632916805,17.990041689994815,0.019135407673149824,17.942153959142622,18.01606337538079,0,0
DTLZ2_n_obj3,MOSADE_no_restart,igd,lower,31,0.04860090207436619,0.0020889069381968065,0.04883416924287816,0.0016491025470471272,0.04602663283687128,0.05225766748187584,0,0
DTLZ2_n_obj3,MOSADE_no_restart,igd_plus,lower,31,0.025328955424880905,0.0018424466637341416,0.025575151944558328,0.0013454149829679645,0.023262688268122035,0.02842348273679145,0,0
DTLZ2_n_obj3,MOSADE_no_restart,gd,lower,31,0.003725002848146027,0.0001402994998002203,0.003835508347175515,0.0004320410658997362,0.003515484813088116,0.005949580853139701,0,0
DTLZ2_n_obj3,MOSADE_no_restart,spread,lower,31,0.024603710285575314,0.0024360538932408013,0.02596013465409242,0.006479680786427626,0.02108537697193845,0.05798424557087422,0,0
DTLZ2_n_obj3,MOSADE_no_restart,time_s,lower,31,646.4420401000243,21.303047749999678,647.0998552419346,38.976624429582664,458.35767939998186,688.9751734999882,0,0
WFG4,MOSADE,hv,higher,31,6.242636381977554,0.004359780164602256,6.242348505562425,0.00649405766958595,6.226748718178953,6.2536318932290005,0,0
WFG4,MOSADE,igd,lower,31,0.0061689861474173,0.0012180655358787727,0.006040039438882934,0.0007824766915541317,0.004489651339824204,0.007770673179800461,0,0
WFG4,MOSADE,igd_plus,lower,31,0.0032893228391990513,0.0004421458788868666,0.003273298403251458,0.0003559303092075746,0.0026660155652788926,0.004126358413274046,0,0
WFG4,MOSADE,gd,lower,31,0.005262168638647679,0.00023796582291560082,0.005209868572277142,0.00015214039535235992,0.004899312951280201,0.005437882986555173,0,0
WFG4,MOSADE,spread,lower,31,0.2640001948477636,0.013688582004589611,0.2616732777129808,0.010080020941583155,0.24052914610847315,0.2824449980529642,0,0
WFG4,MOSADE,time_s,lower,31,404.72320279999985,11.692518649972044,400.2973574354837,21.968349042895362,290.5766801999998,418.3067530999833,0,0
