result_dir,problem,algorithm,seed,run_dir,status,status_reason,n_evals,n_solutions,n_feasible_final,feasibility_ratio,pf_source,hv,igd,igd_plus,gd,spread,time_s
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOSADE,176092387,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOSADE/run_015,ok,,30070,200,200,1.0,archive,777343.8948830783,nan,nan,nan,1.3205108563237937,16.288144399994053
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOSADE,3528048386,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOSADE/run_016,ok,,30040,200,200,1.0,archive,776956.406830167,nan,nan,nan,1.327097581732705,22.809296999999788
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOSADE,569531098,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOSADE/run_017,ok,,30030,200,200,1.0,archive,769084.6699706009,nan,nan,nan,1.361040339349782,19.83338939998066
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOSADE,1337295874,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOSADE/run_018,ok,,30040,200,200,1.0,archive,766520.8432812844,nan,nan,nan,1.3742537764992901,15.379593999998178
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOSADE,612016888,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOSADE/run_019,ok,,30030,200,200,1.0,archive,777086.7641526621,nan,nan,nan,1.3287318560549983,19.309576800034847
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOSADE,232150720,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/MOSADE/run_020,ok,,30030,200,200,1.0,archive,779837.3995976516,nan,nan,nan,1.4673239888821807,16.05756260000635
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,NSGA2,2684470948,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/NSGA2/run_000,ok,,30000,100,100,1.0,final_population_feasible_nondominated,776731.0174867256,nan,nan,nan,0.9489633592057403,49.79544870002428
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,NSGA2,4091952314,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/NSGA2/run_001,ok,,30000,100,100,1.0,final_population_feasible_nondominated,781266.9974165991,nan,nan,nan,0.878693248666096,49.27992329996778
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,NSGA2,233227757,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/NSGA2/run_002,ok,,30000,100,100,1.0,final_population_feasible_nondominated,781050.5128019472,nan,nan,nan,0.9333503673551671,49.12749869999243
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,NSGA2,3276785861,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/NSGA2/run_003,ok,,30000,100,100,1.0,final_population_feasible_nondominated,781425.5208481649,nan,nan,nan,0.9363980249060594,52.412826300016604
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,NSGA2,3644269654,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/NSGA2/run_004,ok,,30000,100,100,1.0,final_population_feasible_nondominated,783292.4108694276,nan,nan,nan,0.913715902176958,49.83340229996247
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,NSGA2,1206282609,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/NSGA2/run_005,ok,,30000,100,100,1.0,final_population_feasible_nondominated,784041.9073094842,nan,nan,nan,0.8643909249414171,52.48014780000085
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,NSGA2,3543069911,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/NSGA2/run_006,ok,,30000,100,100,1.0,final_population_feasible_nondominated,784710.8881736767,nan,nan,nan,0.9449781839531135,51.68486649997067
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,NSGA2,3479688010,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/NSGA2/run_007,ok,,30000,100,100,1.0,final_population_feasible_nondominated,776853.3397302526,nan,nan,nan,0.8716381500647752,48.819522899982985
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,NSGA2,877132087,results/20260425_161424_benchmark_realworld_cre_2obj/CRE21/NSGA2/run_008,ok,,30000,100,100,1.0,final_population_feasible_nondominated,781991.2456428331,nan,nan,nan,0.8318522288067356,53.460547900001984
