problem,metric,reference_algorithm,comparison_algorithm,direction,paired_or_unpaired,test_name,statistic,p_value,effect_size_name,effect_size,n_reference,n_comparison,unsupported_policy,missing_policy,seed_pairing_policy
CRE31,time_s,MOSADE,NSGA3,lower,paired,wilcoxon_signed_rank,0.0,9.5367431640625e-07,cliffs_delta_comparison_minus_reference,-1.0,21,21,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE32,hv,MOSADE,MOEAD,higher,paired,wilcoxon_signed_rank,0.0,9.5367431640625e-07,cliffs_delta_comparison_minus_reference,1.0,21,21,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE32,hv,MOSADE,NSGA2,higher,paired,wilcoxon_signed_rank,61.0,0.05950736999511719,cliffs_delta_comparison_minus_reference,0.6145124716553289,21,21,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE32,hv,MOSADE,NSGA3,higher,paired,wilcoxon_signed_rank,109.0,0.8381938934326172,cliffs_delta_comparison_minus_reference,0.2562358276643991,21,21,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE32,igd,MOSADE,MOEAD,lower,unpaired,mann_whitney_u,nan,nan,cliffs_delta_comparison_minus_reference,nan,0,0,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE32,igd,MOSADE,NSGA2,lower,unpaired,mann_whitney_u,nan,nan,cliffs_delta_comparison_minus_reference,nan,0,0,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE32,igd,MOSADE,NSGA3,lower,unpaired,mann_whitney_u,nan,nan,cliffs_delta_comparison_minus_reference,nan,0,0,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE32,igd_plus,MOSADE,MOEAD,lower,unpaired,mann_whitney_u,nan,nan,cliffs_delta_comparison_minus_reference,nan,0,0,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE32,igd_plus,MOSADE,NSGA2,lower,unpaired,mann_whitney_u,nan,nan,cliffs_delta_comparison_minus_reference,nan,0,0,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE32,igd_plus,MOSADE,NSGA3,lower,unpaired,mann_whitney_u,nan,nan,cliffs_delta_comparison_minus_reference,nan,0,0,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE32,gd,MOSADE,MOEAD,lower,unpaired,mann_whitney_u,nan,nan,cliffs_delta_comparison_minus_reference,nan,0,0,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE32,gd,MOSADE,NSGA2,lower,unpaired,mann_whitney_u,nan,nan,cliffs_delta_comparison_minus_reference,nan,0,0,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE32,gd,MOSADE,NSGA3,lower,unpaired,mann_whitney_u,nan,nan,cliffs_delta_comparison_minus_reference,nan,0,0,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE32,spread,MOSADE,MOEAD,lower,paired,wilcoxon_signed_rank,114.0,0.9728584289550781,cliffs_delta_comparison_minus_reference,0.26077097505668934,21,21,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE32,spread,MOSADE,NSGA2,lower,paired,wilcoxon_signed_rank,3.0,4.76837158203125e-06,cliffs_delta_comparison_minus_reference,-0.8684807256235828,21,21,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE32,spread,MOSADE,NSGA3,lower,paired,wilcoxon_signed_rank,108.0,0.8116779327392578,cliffs_delta_comparison_minus_reference,0.02947845804988662,21,21,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE32,time_s,MOSADE,MOEAD,lower,paired,wilcoxon_signed_rank,0.0,9.5367431640625e-07,cliffs_delta_comparison_minus_reference,-1.0,21,21,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE32,time_s,MOSADE,NSGA2,lower,paired,wilcoxon_signed_rank,0.0,9.5367431640625e-07,cliffs_delta_comparison_minus_reference,1.0,21,21,excluded_as_NA,excluded_and_counted,same_seed_when_complete
CRE32,time_s,MOSADE,NSGA3,lower,paired,wilcoxon_signed_rank,0.0,9.5367431640625e-07,cliffs_delta_comparison_minus_reference,-1.0,21,21,excluded_as_NA,excluded_and_counted,same_seed_when_complete
