constant_name,problem,metric,direction,reference_level,comparison_level,n_ref,n_cmp,n_pairs,n_nonzero_differences,n_nan_ref,n_nan_cmp,n_inf_ref,n_inf_cmp,n_unique_ref,n_unique_cmp,test_name,paired,test_executed,p_value_raw,p_value_holm,holm_included,effect_size_name,effect_size,effect_direction,status,reason_class,report_status,interpretation,a1_a5_formal_experiment_source_snapshot_sha256,a1_a5_postprocessing_source_snapshot_sha256,e3_formal_experiment_source_snapshot_sha256,global_postprocessing_source_snapshot_sha256
lp,ZDT3,igd_plus,lower,default,low,11,11,11,11,0,0,0,0,11,11,wilcoxon_signed_rank,True,True,0.4130859375,0.826171875,True,Cliff's delta,0.14049586776859505,reference_better,test_ok,none,usable_statistical,No Holm-significant difference; use descriptive sensitivity wording.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,ZDT3,gd,lower,default,low,11,11,11,11,0,0,0,0,11,11,wilcoxon_signed_rank,True,True,0.1015625,0.203125,True,Cliff's delta,-0.2231404958677686,comparison_better,test_ok,none,usable_statistical,No Holm-significant difference; use descriptive sensitivity wording.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,ZDT3,spread,lower,default,low,11,11,11,11,0,0,0,0,11,11,wilcoxon_signed_rank,True,True,0.240234375,0.48046875,True,Cliff's delta,0.024793388429752067,reference_better,test_ok,none,usable_statistical,No Holm-significant difference; use descriptive sensitivity wording.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,ZDT3,time_s,lower,default,low,11,11,11,11,0,0,0,0,11,11,wilcoxon_signed_rank,True,True,0.0322265625,0.064453125,True,Cliff's delta,-0.35537190082644626,comparison_better,test_ok,none,usable_statistical,No Holm-significant difference; use descriptive sensitivity wording.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,DASCMOP7_difficulty7,hv,higher,default,high,11,11,11,11,0,0,0,0,11,11,wilcoxon_signed_rank,True,True,0.7001953125,1.0,True,Cliff's delta,-0.2396694214876033,reference_better,test_ok,none,usable_statistical,No Holm-significant difference; use descriptive sensitivity wording.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,DASCMOP7_difficulty7,igd,lower,default,high,11,11,11,11,0,0,0,0,11,11,wilcoxon_signed_rank,True,True,0.1474609375,0.294921875,True,Cliff's delta,0.48760330578512395,reference_better,test_ok,none,usable_statistical,No Holm-significant difference; use descriptive sensitivity wording.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,DASCMOP7_difficulty7,igd_plus,lower,default,high,11,11,11,11,0,0,0,0,11,11,wilcoxon_signed_rank,True,True,0.0830078125,0.166015625,True,Cliff's delta,0.5702479338842975,reference_better,test_ok,none,usable_statistical,No Holm-significant difference; use descriptive sensitivity wording.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,DASCMOP7_difficulty7,gd,lower,default,high,11,11,11,11,0,0,0,0,11,11,wilcoxon_signed_rank,True,True,0.2783203125,0.556640625,True,Cliff's delta,0.30578512396694213,reference_better,test_ok,none,usable_statistical,No Holm-significant difference; use descriptive sensitivity wording.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,DASCMOP7_difficulty7,spread,lower,default,high,11,11,11,11,0,0,0,0,11,11,wilcoxon_signed_rank,True,True,0.9658203125,0.9658203125,True,Cliff's delta,0.024793388429752067,reference_better,test_ok,none,usable_statistical,No Holm-significant difference; use descriptive sensitivity wording.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
lp,DASCMOP7_difficulty7,time_s,lower,default,high,11,11,11,11,0,0,0,0,11,11,wilcoxon_signed_rank,True,True,0.0009765625,0.001953125,True,Cliff's delta,0.768595041322314,reference_better,test_ok,none,usable_statistical,Holm-significant; default level is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
