objective_group,problem,algorithm,metric,direction,n_runs,median,iqr,mean,std,min,max,n_unsupported,n_failed,rank,notes,algorithm_set_note
2_objective_algorithm_set,CRE23,MOSADE,spread,lower,21,0.858402099955211,0.1219288593861309,0.9016788992303052,0.091478401315029,0.7968631103803847,1.1153354034662688,0,0,3,,"CRE21/22/23 compare MOSADE, MOEAD, and NSGA2"
2_objective_algorithm_set,CRE23,MOEAD,time_s,lower,21,6.379213500011247,0.6124086999916472,6.449886666674589,0.4295026947036131,5.580887900025118,7.167039000021759,0,0,1,,"CRE21/22/23 compare MOSADE, MOEAD, and NSGA2"
2_objective_algorithm_set,CRE23,MOSADE,time_s,lower,21,17.316223500005435,1.5957387000089511,16.59974658570995,2.1582045451930005,11.926336799981073,18.75625850004144,0,0,2,,"CRE21/22/23 compare MOSADE, MOEAD, and NSGA2"
2_objective_algorithm_set,CRE23,NSGA2,time_s,lower,21,57.050146399997175,5.50562470004661,56.50686341904137,7.496216509582069,43.31130950001534,66.01905719999922,0,0,3,,"CRE21/22/23 compare MOSADE, MOEAD, and NSGA2"
3_objective_algorithm_set,CRE31,NSGA3,hv,higher,21,73.20959292938237,0.203705477773596,73.16000284205158,0.1828796814565979,72.71931675110352,73.45125125779866,0,0,1,,"CRE31/32 compare MOSADE, MOEAD, NSGA2, and NSGA3"
3_objective_algorithm_set,CRE31,MOSADE,hv,higher,21,72.11997560220848,0.2031522126118687,72.12504264118004,0.2319219184898844,71.689183199082,72.74462552672114,0,0,2,,"CRE31/32 compare MOSADE, MOEAD, NSGA2, and NSGA3"
3_objective_algorithm_set,CRE31,NSGA2,hv,higher,21,67.27842044671789,1.024722627412871,67.46635093610884,0.7163826002333664,65.89595346529958,68.75830770948296,0,0,3,,"CRE31/32 compare MOSADE, MOEAD, NSGA2, and NSGA3"
3_objective_algorithm_set,CRE31,MOEAD,hv,higher,21,59.29971880206169,2.773638286239816,59.079564888688026,2.134352217699796,54.80464244729597,62.15218738107765,0,0,4,,"CRE31/32 compare MOSADE, MOEAD, NSGA2, and NSGA3"
3_objective_algorithm_set,CRE31,MOSADE,spread,lower,21,0.075121032447055,0.0055936299941821,0.0761655393316842,0.004767419090119,0.0677179342329876,0.0854988135204341,0,0,1,,"CRE31/32 compare MOSADE, MOEAD, NSGA2, and NSGA3"
3_objective_algorithm_set,CRE31,NSGA2,spread,lower,21,0.0991171355717775,0.0151020402078833,0.1005073035754448,0.0109344860480959,0.0840840372717005,0.1281802363967059,0,0,2,,"CRE31/32 compare MOSADE, MOEAD, NSGA2, and NSGA3"
