result_dir,problem,algorithm,n_runs,mean_feasibility_ratio_recomputed,median_feasibility_ratio_recomputed
results/20260419_103648_benchmark_dtlz_3obj,DTLZ2_n_obj3,MOEAD,31,1.0,1.0
results/20260419_103648_benchmark_dtlz_3obj,DTLZ2_n_obj3,MOEAD_DE,31,1.0,1.0
results/20260419_103648_benchmark_dtlz_3obj,DTLZ2_n_obj3,MOSADE,31,1.0,1.0
results/20260419_103648_benchmark_dtlz_3obj,DTLZ2_n_obj3,NSGA2,31,1.0,1.0
results/20260419_103648_benchmark_dtlz_3obj,DTLZ2_n_obj3,NSGA3,31,1.0,1.0
results/20260419_103648_benchmark_dtlz_3obj,DTLZ2_n_obj3,SMSEMOA,31,1.0,1.0
results/20260419_103648_benchmark_dtlz_3obj,DTLZ2_n_obj3,SPEA2,31,1.0,1.0
results/20260419_103648_benchmark_dtlz_3obj,DTLZ3_n_obj3,MOEAD,31,1.0,1.0
results/20260419_103648_benchmark_dtlz_3obj,DTLZ3_n_obj3,MOEAD_DE,31,1.0,1.0
results/20260419_103648_benchmark_dtlz_3obj,DTLZ3_n_obj3,MOSADE,31,1.0,1.0
results/20260419_103648_benchmark_dtlz_3obj,DTLZ3_n_obj3,NSGA2,31,1.0,1.0
results/20260419_103648_benchmark_dtlz_3obj,DTLZ3_n_obj3,NSGA3,31,1.0,1.0
results/20260419_103648_benchmark_dtlz_3obj,DTLZ3_n_obj3,SMSEMOA,31,1.0,1.0
results/20260419_103648_benchmark_dtlz_3obj,DTLZ3_n_obj3,SPEA2,31,1.0,1.0
results/20260419_103648_benchmark_dtlz_3obj,DTLZ4_n_obj3,MOEAD,31,1.0,1.0
results/20260419_103648_benchmark_dtlz_3obj,DTLZ4_n_obj3,MOEAD_DE,31,1.0,1.0
results/20260419_103648_benchmark_dtlz_3obj,DTLZ4_n_obj3,MOSADE,31,1.0,1.0
results/20260419_103648_benchmark_dtlz_3obj,DTLZ4_n_obj3,NSGA2,31,1.0,1.0
results/20260419_103648_benchmark_dtlz_3obj,DTLZ4_n_obj3,NSGA3,31,1.0,1.0
results/20260419_103648_benchmark_dtlz_3obj,DTLZ4_n_obj3,SMSEMOA,31,1.0,1.0
results/20260419_103648_benchmark_dtlz_3obj,DTLZ4_n_obj3,SPEA2,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,DASCMOP7_difficulty7,MOSADE,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,DASCMOP7_difficulty7,MOSADE_fixed_eps,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,DASCMOP7_difficulty7,MOSADE_single_S1,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,DASCMOP7_difficulty7,MOSADE_single_S2,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,DASCMOP7_difficulty7,MOSADE_single_S3,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,DASCMOP7_difficulty7,MOSADE_single_S4,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,DASCMOP7_difficulty7,MOSADE_uniform_strategy,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,WFG4,MOSADE,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,WFG4,MOSADE_fixed_eps,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,WFG4,MOSADE_single_S1,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,WFG4,MOSADE_single_S2,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,WFG4,MOSADE_single_S3,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,WFG4,MOSADE_single_S4,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,WFG4,MOSADE_uniform_strategy,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,WFG9,MOSADE,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,WFG9,MOSADE_fixed_eps,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,WFG9,MOSADE_single_S1,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,WFG9,MOSADE_single_S2,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,WFG9,MOSADE_single_S3,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,WFG9,MOSADE_single_S4,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,WFG9,MOSADE_uniform_strategy,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,ZDT1,MOSADE,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,ZDT1,MOSADE_fixed_eps,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,ZDT1,MOSADE_single_S1,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,ZDT1,MOSADE_single_S2,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,ZDT1,MOSADE_single_S3,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,ZDT1,MOSADE_single_S4,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,ZDT1,MOSADE_uniform_strategy,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,ZDT3,MOSADE,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,ZDT3,MOSADE_fixed_eps,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,ZDT3,MOSADE_single_S1,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,ZDT3,MOSADE_single_S2,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,ZDT3,MOSADE_single_S3,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,ZDT3,MOSADE_single_S4,31,1.0,1.0
results/20260423_055232_ablation_main_parallel,ZDT3,MOSADE_uniform_strategy,31,1.0,1.0
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOEAD,21,1.0,1.0
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,MOSADE,21,1.0,1.0
results/20260425_161424_benchmark_realworld_cre_2obj,CRE21,NSGA2,21,1.0,1.0
results/20260425_161424_benchmark_realworld_cre_2obj,CRE22,MOEAD,21,0.7727053140096619,1.0
results/20260425_161424_benchmark_realworld_cre_2obj,CRE22,MOSADE,21,1.0,1.0
results/20260425_161424_benchmark_realworld_cre_2obj,CRE22,NSGA2,21,1.0,1.0
results/20260425_161424_benchmark_realworld_cre_2obj,CRE23,MOEAD,21,1.0,1.0
results/20260425_161424_benchmark_realworld_cre_2obj,CRE23,MOSADE,21,1.0,1.0
results/20260425_161424_benchmark_realworld_cre_2obj,CRE23,NSGA2,21,1.0,1.0
results/20260425_162709_benchmark_realworld_cre_3obj,CRE31,MOEAD,21,1.0,1.0
results/20260425_162709_benchmark_realworld_cre_3obj,CRE31,MOSADE,21,1.0,1.0
results/20260425_162709_benchmark_realworld_cre_3obj,CRE31,NSGA2,21,1.0,1.0
results/20260425_162709_benchmark_realworld_cre_3obj,CRE31,NSGA3,21,1.0,1.0
results/20260425_162709_benchmark_realworld_cre_3obj,CRE32,MOEAD,21,1.0,1.0
results/20260425_162709_benchmark_realworld_cre_3obj,CRE32,MOSADE,21,1.0,1.0
results/20260425_162709_benchmark_realworld_cre_3obj,CRE32,NSGA2,21,1.0,1.0
results/20260425_162709_benchmark_realworld_cre_3obj,CRE32,NSGA3,21,1.0,1.0
results/a1_ablation_epsilon_modes,DASCMOP7_difficulty7,MOSADE,31,1.0,1.0
results/a1_ablation_epsilon_modes,DASCMOP7_difficulty7,MOSADE_eps_zero,31,1.0,1.0
results/a1_ablation_epsilon_modes,DASCMOP7_difficulty7,MOSADE_fixed_eps_initial,31,1.0,1.0
results/a1_ablation_epsilon_modes,DTLZ2_n_obj3,MOSADE,31,1.0,1.0
results/a1_ablation_epsilon_modes,DTLZ2_n_obj3,MOSADE_eps_zero,31,1.0,1.0
results/a1_ablation_epsilon_modes,DTLZ2_n_obj3,MOSADE_fixed_eps_initial,31,1.0,1.0
results/a1_ablation_epsilon_modes,WFG4,MOSADE,31,1.0,1.0
results/a1_ablation_epsilon_modes,WFG4,MOSADE_eps_zero,31,1.0,1.0
results/a1_ablation_epsilon_modes,WFG4,MOSADE_fixed_eps_initial,31,1.0,1.0
results/a1_ablation_epsilon_modes,WFG9,MOSADE,31,1.0,1.0
results/a1_ablation_epsilon_modes,WFG9,MOSADE_eps_zero,31,1.0,1.0
results/a1_ablation_epsilon_modes,WFG9,MOSADE_fixed_eps_initial,31,1.0,1.0
results/a1_ablation_epsilon_modes,ZDT1,MOSADE,31,1.0,1.0
results/a1_ablation_epsilon_modes,ZDT1,MOSADE_eps_zero,31,1.0,1.0
results/a1_ablation_epsilon_modes,ZDT1,MOSADE_fixed_eps_initial,31,1.0,1.0
results/a1_ablation_epsilon_modes,ZDT3,MOSADE,31,1.0,1.0
results/a1_ablation_epsilon_modes,ZDT3,MOSADE_eps_zero,31,1.0,1.0
results/a1_ablation_epsilon_modes,ZDT3,MOSADE_fixed_eps_initial,31,1.0,1.0
results/a3_ablation_memory,DASCMOP7_difficulty7,MOSADE,31,1.0,1.0
results/a3_ablation_memory,DASCMOP7_difficulty7,MOSADE_shared_memory,31,1.0,1.0
results/a3_ablation_memory,DTLZ2_n_obj3,MOSADE,31,1.0,1.0
results/a3_ablation_memory,DTLZ2_n_obj3,MOSADE_shared_memory,31,1.0,1.0
results/a3_ablation_memory,WFG4,MOSADE,31,1.0,1.0
results/a3_ablation_memory,WFG4,MOSADE_shared_memory,31,1.0,1.0
results/a3_ablation_memory,WFG9,MOSADE,31,1.0,1.0
results/a3_ablation_memory,WFG9,MOSADE_shared_memory,31,1.0,1.0
results/a3_ablation_memory,ZDT1,MOSADE,31,1.0,1.0
results/a3_ablation_memory,ZDT1,MOSADE_shared_memory,31,1.0,1.0
results/a3_ablation_memory,ZDT3,MOSADE,31,1.0,1.0
results/a3_ablation_memory,ZDT3,MOSADE_shared_memory,31,1.0,1.0
results/a4_ablation_restart,DASCMOP7_difficulty7,MOSADE,31,1.0,1.0
results/a4_ablation_restart,DASCMOP7_difficulty7,MOSADE_no_restart,31,1.0,1.0
results/a4_ablation_restart,DTLZ2_n_obj3,MOSADE,31,1.0,1.0
results/a4_ablation_restart,DTLZ2_n_obj3,MOSADE_no_restart,31,1.0,1.0
results/a4_ablation_restart,WFG4,MOSADE,31,1.0,1.0
results/a4_ablation_restart,WFG4,MOSADE_no_restart,31,1.0,1.0
results/a4_ablation_restart,WFG9,MOSADE,31,1.0,1.0
results/a4_ablation_restart,WFG9,MOSADE_no_restart,31,1.0,1.0
results/a4_ablation_restart,ZDT1,MOSADE,31,1.0,1.0
results/a4_ablation_restart,ZDT1,MOSADE_no_restart,31,1.0,1.0
results/a4_ablation_restart,ZDT3,MOSADE,31,1.0,1.0
results/a4_ablation_restart,ZDT3,MOSADE_no_restart,31,1.0,1.0
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE,31,1.0,1.0
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE_domselect,31,1.0,1.0
results/a5_ablation_domselect,DTLZ2_n_obj3,MOSADE,31,1.0,1.0
results/a5_ablation_domselect,DTLZ2_n_obj3,MOSADE_domselect,31,1.0,1.0
results/a5_ablation_domselect,WFG4,MOSADE,31,1.0,1.0
results/a5_ablation_domselect,WFG4,MOSADE_domselect,31,1.0,1.0
results/a5_ablation_domselect,WFG9,MOSADE,31,1.0,1.0
results/a5_ablation_domselect,WFG9,MOSADE_domselect,31,1.0,1.0
results/a5_ablation_domselect,ZDT1,MOSADE,31,1.0,1.0
results/a5_ablation_domselect,ZDT1,MOSADE_domselect,31,1.0,1.0
results/a5_ablation_domselect,ZDT3,MOSADE,31,1.0,1.0
results/a5_ablation_domselect,ZDT3,MOSADE_domselect,31,1.0,1.0
