source_block,source_file,metric,metric_reported_as,n,bootstrap_seed,n_bootstrap,experiment_group,problem,variant,median,ci95_low,ci95_high,status,notes,constant_name,constant_level
a3_memory_ablation,tables\a3_memory_ablation_by_run_clean.csv,igd,igd,31,4113978402181936445,5000,A3,WFG9,MOSADE_shared_memory,0.0094758634616728,0.0093103881059344,0.0095310377749228,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a3_memory_ablation,tables\a3_memory_ablation_by_run_clean.csv,hv,hv,31,6925493535050511163,5000,A3,ZDT1,MOSADE,7.350925324306885,7.350916333365927,7.350931701201221,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a3_memory_ablation,tables\a3_memory_ablation_by_run_clean.csv,igd,igd,31,304450037560386358,5000,A3,ZDT1,MOSADE,0.001885596226161,0.0018789315387377,0.0018912421675197,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a3_memory_ablation,tables\a3_memory_ablation_by_run_clean.csv,hv,hv,31,508628853847131709,5000,A3,ZDT1,MOSADE_shared_memory,7.350897305107969,7.350869427157779,7.3509343235248785,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a3_memory_ablation,tables\a3_memory_ablation_by_run_clean.csv,igd,igd,31,1857859617764038395,5000,A3,ZDT1,MOSADE_shared_memory,0.0018856236003334,0.0018799054760802,0.0018894380321621,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a3_memory_ablation,tables\a3_memory_ablation_by_run_clean.csv,hv,hv,31,10008661432103992554,5000,A3,ZDT3,MOSADE,7.805978601379113,7.8059570064717985,7.805986725835425,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a3_memory_ablation,tables\a3_memory_ablation_by_run_clean.csv,igd,igd,31,5975123336002517046,5000,A3,ZDT3,MOSADE,0.0022660470897209,0.0022549331759915,0.0022759709285009,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a3_memory_ablation,tables\a3_memory_ablation_by_run_clean.csv,hv,hv,31,2065250036946318955,5000,A3,ZDT3,MOSADE_shared_memory,7.805950499683648,7.805940713062036,7.805977122863707,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a3_memory_ablation,tables\a3_memory_ablation_by_run_clean.csv,igd,igd,31,4851572472245981404,5000,A3,ZDT3,MOSADE_shared_memory,0.002269384366674,0.002258831980832,0.0022768773185675,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a4_restart_ablation,tables\a4_restart_ablation_by_run_clean.csv,hv,hv,31,9098121470498408932,5000,A4,DASCMOP7_difficulty7,MOSADE,110916.70043432672,110914.78165058616,110917.19094131682,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a4_restart_ablation,tables\a4_restart_ablation_by_run_clean.csv,igd,igd,31,2854714478141419460,5000,A4,DASCMOP7_difficulty7,MOSADE,0.0323345028880773,0.0317638227061274,0.0326067020680379,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a4_restart_ablation,tables\a4_restart_ablation_by_run_clean.csv,hv,hv,31,9727660775121663307,5000,A4,DASCMOP7_difficulty7,MOSADE_no_restart,110917.63447001312,110917.05020038408,110917.94862590132,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a4_restart_ablation,tables\a4_restart_ablation_by_run_clean.csv,igd,igd,31,328673460218625612,5000,A4,DASCMOP7_difficulty7,MOSADE_no_restart,0.0323642205777664,0.0319991988492847,0.0327454294202737,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
a4_restart_ablation,tables\a4_restart_ablation_by_run_clean.csv,hv,hv,31,13696789965922161088,5000,A4,DTLZ2_n_obj3,MOSADE,18.002498554943354,17.998991280635174,18.005445361816903,ok,median bootstrap CI; unsupported/missing/NaN values excluded,,
