experiment_group,problem,metric,direction,reference_variant,comparison_variant,n_ref,n_cmp,n_pairs,n_nonzero_differences,n_nan_ref,n_nan_cmp,n_inf_ref,n_inf_cmp,n_unique_ref,n_unique_cmp,test_name,paired,test_executed,holm_included,p_value_raw,p_value_holm,effect_size_name,effect_size,effect_direction,status,reason_class,report_status,interpretation
A1_supplementary,DTLZ2_n_obj3,hv,higher,MOSADE,MOSADE_fixed_eps_initial,31,31,31,0,0,0,0,0,31,31,Wilcoxon signed-rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable,paired values are identical; no effect
A1_supplementary,DTLZ2_n_obj3,hv,higher,MOSADE,MOSADE_eps_zero,31,31,31,0,0,0,0,0,31,31,Wilcoxon signed-rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable,paired values are identical; no effect
A1_supplementary,DTLZ2_n_obj3,hv,higher,MOSADE_fixed_eps_initial,MOSADE_eps_zero,31,31,31,0,0,0,0,0,31,31,Wilcoxon signed-rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable,paired values are identical; no effect
A1_supplementary,DTLZ2_n_obj3,igd,lower,MOSADE,MOSADE_fixed_eps_initial,31,31,31,0,0,0,0,0,31,31,Wilcoxon signed-rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable,paired values are identical; no effect
A1_supplementary,DTLZ2_n_obj3,igd,lower,MOSADE,MOSADE_eps_zero,31,31,31,0,0,0,0,0,31,31,Wilcoxon signed-rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable,paired values are identical; no effect
A1_supplementary,DTLZ2_n_obj3,igd,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,31,31,31,0,0,0,0,0,31,31,Wilcoxon signed-rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable,paired values are identical; no effect
A1_supplementary,DTLZ2_n_obj3,igd_plus,lower,MOSADE,MOSADE_fixed_eps_initial,31,31,31,0,0,0,0,0,31,31,Wilcoxon signed-rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable,paired values are identical; no effect
A1_supplementary,DTLZ2_n_obj3,igd_plus,lower,MOSADE,MOSADE_eps_zero,31,31,31,0,0,0,0,0,31,31,Wilcoxon signed-rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable,paired values are identical; no effect
A1_supplementary,DTLZ2_n_obj3,igd_plus,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,31,31,31,0,0,0,0,0,31,31,Wilcoxon signed-rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable,paired values are identical; no effect
A1_supplementary,DTLZ2_n_obj3,gd,lower,MOSADE,MOSADE_fixed_eps_initial,31,31,31,0,0,0,0,0,31,31,Wilcoxon signed-rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable,paired values are identical; no effect
