worker_setting,problem,algorithm,seed,run_index,status,runtime_seconds,HV,IGD,IGD_PLUS,GD,spread,feasibility_ratio,n_evals,budget_expected,metrics_json_found,history_json_found,objectives_found,decisions_found,formal_runtime_included,excluded_reason,source_metrics_json,notes
1,ZDT3,NSGA2,3644269654,4,ok,368.3787364999298,7.803541908595379,0.005552643980397526,0.0019109381562519214,0.00016336944875982004,0.5776020747905397,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA2/run_004/metrics.json,
1,ZDT3,NSGA2,1206282609,5,ok,365.1866563000949,7.803097871873054,0.005840677144431634,0.0021418627749002976,0.00016928238129061658,0.6052386273961269,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA2/run_005/metrics.json,
1,ZDT3,NSGA2,3543069911,6,ok,368.15367270004936,7.803838979989419,0.005416711525628484,0.0018055893015406688,0.00016219605193617683,0.5254981640504088,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA2/run_006/metrics.json,
1,ZDT3,NSGA2,3479688010,7,ok,367.32970960007515,7.803672011165796,0.005459678470784956,0.0018589484624778703,0.00015168652486129402,0.5539247475501662,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA2/run_007/metrics.json,
1,ZDT3,NSGA2,877132087,8,ok,369.149652000051,7.803773919822464,0.0055984228112573725,0.001818331939794492,0.0001636971024642771,0.5467573713134009,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA2/run_008/metrics.json,
1,ZDT3,NSGA2,1244265337,9,ok,368.33701080002356,7.8036784564455735,0.00566205272422026,0.0019423685057153557,0.000153647960963569,0.5632797410188666,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA2/run_009/metrics.json,
1,ZDT3,NSGA2,2740186692,10,ok,368.2530797999352,7.803374165317564,0.005527112703019243,0.002022597561332401,0.00018973465577028415,0.5594052197558272,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA2/run_010/metrics.json,
1,ZDT3,NSGA2,3884972972,11,ok,366.2410471999319,7.80362996524725,0.005449943872243931,0.0019394395024169495,0.00016625642104198515,0.5612320367262152,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA2/run_011/metrics.json,
1,ZDT3,NSGA2,829139639,12,ok,363.2667694000993,7.803769304257074,0.005596237534354539,0.001811428194284165,0.00015888284584668471,0.5570765451305318,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA2/run_012/metrics.json,
1,ZDT3,NSGA2,2545567356,13,ok,360.9989124999847,7.803749176406136,0.005352379309920582,0.0018634558302275505,0.00014073286729470404,0.5243863089765204,1.0,300000,300000,True,True,True,True,True,,results/a7_runtime_workers1/ZDT3/NSGA2/run_013/metrics.json,
