source_block,source_file,metric,metric_reported_as,n,bootstrap_seed,n_bootstrap,result_dir,problem,algorithm,median,ci95_low,ci95_high,status,notes
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,11968246759493288368,5000,results/20260417_163055_benchmark_wfg,WFG2,NSGA2,9.799118926583596,9.795959892159145,9.801929220040057,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,2748407561761093206,5000,results/20260417_163055_benchmark_wfg,WFG2,NSGA3,9.80146986019987,9.795957677552355,9.803632715395844,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,1963395019162814258,5000,results/20260417_163055_benchmark_wfg,WFG2,SMSEMOA,9.81725401960346,9.816104907623329,9.818641140598302,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,6755367515826869974,5000,results/20260417_163055_benchmark_wfg,WFG2,SPEA2,9.81011330318875,9.807426304606375,9.813150981312466,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,7934469387572338255,5000,results/20260417_163055_benchmark_wfg,WFG3,MOEAD,9.038958194323016,9.038260135853344,9.041823126727804,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,13820569146586425699,5000,results/20260417_163055_benchmark_wfg,WFG3,MOEAD_DE,9.042207167842385,9.040395256484036,9.044491619712948,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,11419838686416635908,5000,results/20260417_163055_benchmark_wfg,WFG3,MOSADE,9.06567637435675,9.064657942180522,9.066957188557122,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,11104272034695626666,5000,results/20260417_163055_benchmark_wfg,WFG3,NSGA2,8.881728307479937,8.87198982163625,8.88985385530508,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,331402123429787961,5000,results/20260417_163055_benchmark_wfg,WFG3,NSGA3,9.055023225022214,9.051319092904023,9.058163892190317,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,11868399344220501870,5000,results/20260417_163055_benchmark_wfg,WFG3,SMSEMOA,9.059682607376692,9.0558770082089,9.061777195434988,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,17105695666850699539,5000,results/20260417_163055_benchmark_wfg,WFG3,SPEA2,8.965422832910141,8.954554863629669,8.968318068732607,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,16272150644600378629,5000,results/20260417_163055_benchmark_wfg,WFG4,MOEAD,6.064088703484972,6.056722970873861,6.078661093758762,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,8810160032091991562,5000,results/20260417_163055_benchmark_wfg,WFG4,MOEAD_DE,6.055990259923906,6.042952049926071,6.062220342074708,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,15965257637513496695,5000,results/20260417_163055_benchmark_wfg,WFG4,MOSADE,6.242636381977554,6.240454000302422,6.243208676080582,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,17039274083704341373,5000,results/20260417_163055_benchmark_wfg,WFG4,NSGA2,6.124490037912462,6.117162904248145,6.129310394512088,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,15424906586406676586,5000,results/20260417_163055_benchmark_wfg,WFG4,NSGA3,6.239229358449824,6.23884790048629,6.23957272580845,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,8728394041204543480,5000,results/20260417_163055_benchmark_wfg,WFG4,SMSEMOA,6.245896736042226,6.245022629972824,6.246206953768072,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,14958806628504233121,5000,results/20260417_163055_benchmark_wfg,WFG4,SPEA2,6.166621142626733,6.162062428991738,6.17402121858408,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,16162945933376996703,5000,results/20260417_163055_benchmark_wfg,WFG5,MOEAD,7.5419930042786065,7.540811079434527,7.543161006028078,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,11673168928880813889,5000,results/20260417_163055_benchmark_wfg,WFG5,MOEAD_DE,7.539195984634157,7.538118748901066,7.540342422131275,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,7440632246616962301,5000,results/20260417_163055_benchmark_wfg,WFG5,MOSADE,7.559937879658996,7.557060908206456,7.562357411830899,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,12038134138800679810,5000,results/20260417_163055_benchmark_wfg,WFG5,NSGA2,7.579409489691637,7.544188640628996,7.60017697567653,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,2162395203136722534,5000,results/20260417_163055_benchmark_wfg,WFG5,NSGA3,7.6219215434068674,7.593739933584227,7.62900338223679,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,17723142542872614012,5000,results/20260417_163055_benchmark_wfg,WFG5,SMSEMOA,7.58903435065839,7.5618301253925395,7.597125516111138,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,7354654345727120259,5000,results/20260417_163055_benchmark_wfg,WFG5,SPEA2,7.494100977740145,7.477707123633767,7.510368871592113,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,464083408868971312,5000,results/20260417_163055_benchmark_wfg,WFG6,MOEAD,9.257233203043636,8.985762339620939,9.311448679297026,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,8799730095103092107,5000,results/20260417_163055_benchmark_wfg,WFG6,MOEAD_DE,8.775057238683031,8.774711155831696,8.775225642699809,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,11624955932409951420,5000,results/20260417_163055_benchmark_wfg,WFG6,MOSADE,9.443812675231284,9.434775161662204,9.457695905474193,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,1842342380161533814,5000,results/20260417_163055_benchmark_wfg,WFG6,NSGA2,9.085487994255589,9.02674040776104,9.107641239916347,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,132854517765180039,5000,results/20260417_163055_benchmark_wfg,WFG6,NSGA3,9.195711566051337,9.171334246495867,9.212761607197562,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,17692827875542297092,5000,results/20260417_163055_benchmark_wfg,WFG6,SMSEMOA,9.209993245174829,9.1777711252286,9.221214901529434,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,1995340846141447311,5000,results/20260417_163055_benchmark_wfg,WFG6,SPEA2,9.097174996108778,9.06857534024945,9.106228809840957,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,15977246519315134697,5000,results/20260417_163055_benchmark_wfg,WFG7,MOEAD,8.458291451593377,8.457666585357414,8.459127392469155,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,6268600926204083369,5000,results/20260417_163055_benchmark_wfg,WFG7,MOEAD_DE,8.451326467300603,8.45076196194258,8.45396103718626,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,1957740742932456771,5000,results/20260417_163055_benchmark_wfg,WFG7,MOSADE,8.479591662066117,8.475899974184621,8.48129687559829,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,15790142283529174768,5000,results/20260417_163055_benchmark_wfg,WFG7,NSGA2,8.364491670202518,8.360329836602089,8.367377019161056,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,1935645674140831866,5000,results/20260417_163055_benchmark_wfg,WFG7,NSGA3,8.475617050822967,8.47504033025894,8.475951062153166,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,4497004661137537999,5000,results/20260417_163055_benchmark_wfg,WFG7,SMSEMOA,8.48290232493813,8.48217577279965,8.48325339402449,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,2374393928113699924,5000,results/20260417_163055_benchmark_wfg,WFG7,SPEA2,8.340186450941184,8.322329330454863,8.346699621934922,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,14605263071489080141,5000,results/20260417_163055_benchmark_wfg,WFG8,MOEAD,8.73656247148065,8.613222955567322,8.857191060981467,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,1929512419828541478,5000,results/20260417_163055_benchmark_wfg,WFG8,MOEAD_DE,8.86543179141715,8.854741004712848,8.869488213332524,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,10914934911427084861,5000,results/20260417_163055_benchmark_wfg,WFG8,MOSADE,8.949635158478406,8.889147483580564,9.132238263234374,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,14972004551771119953,5000,results/20260417_163055_benchmark_wfg,WFG8,NSGA2,8.65763289654433,8.567982231035849,8.716006540280693,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,13649894854957630499,5000,results/20260417_163055_benchmark_wfg,WFG8,NSGA3,8.705049241239033,8.625700230511649,8.773100045508441,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,6694493560872815844,5000,results/20260417_163055_benchmark_wfg,WFG8,SMSEMOA,8.814743259785775,8.69177081628854,8.839031968377972,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,13847506302683526108,5000,results/20260417_163055_benchmark_wfg,WFG8,SPEA2,8.680082032300467,8.65617768985801,8.729634667739887,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,9506538770075951656,5000,results/20260417_163055_benchmark_wfg,WFG9,MOEAD,9.844573954938568,9.84046101660443,9.847935899301223,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,11681810008166690583,5000,results/20260417_163055_benchmark_wfg,WFG9,MOEAD_DE,9.845169484983824,9.843718690484131,9.848794232191349,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,6496533203136423413,5000,results/20260417_163055_benchmark_wfg,WFG9,MOSADE,9.878076433441954,9.875597699337629,9.880054401628776,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,15266002428712767210,5000,results/20260417_163055_benchmark_wfg,WFG9,NSGA2,9.853743707641575,9.849263290193422,9.856097059215228,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,17958934664874399585,5000,results/20260417_163055_benchmark_wfg,WFG9,NSGA3,9.861929664812644,9.861023864387784,9.864640964890318,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,10527640622521608301,5000,results/20260417_163055_benchmark_wfg,WFG9,SMSEMOA,9.862984997679956,9.86155769790703,9.864684444933845,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,7545465875098881263,5000,results/20260417_163055_benchmark_wfg,WFG9,SPEA2,9.781505709966709,9.765820264827894,9.790637414788726,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,11086220876118629548,5000,results/20260418_172554_benchmark_dascmop,DASCMOP1_difficulty1,MOEAD,250.9016588243799,250.90157085977583,250.9017120346149,ok,median bootstrap CI; unsupported/missing/NaN values excluded
main_benchmark,tables\rebuilt_main_benchmark_by_run.csv,hv,hv,31,15279946139668488889,5000,results/20260418_172554_benchmark_dascmop,DASCMOP1_difficulty1,MOSADE,250.9014467470344,250.90134365071623,250.90156843879743,ok,median bootstrap CI; unsupported/missing/NaN values excluded
