problem,metric,reference_algorithm,comparison_algorithm,direction,paired_or_unpaired,test_name,statistic,p_value,effect_size_name,effect_size,n_reference,n_comparison,unsupported_policy,missing_policy,seed_pairing_policy
DASCMOP7_difficulty7,gd,MOSADE,MOSADE_fixed_eps_initial,lower,paired,wilcoxon_signed_rank,0.0,nan,cliffs_delta_comparison_minus_reference,0.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,gd,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,133.0,0.023342357017099857,cliffs_delta_comparison_minus_reference,-0.31321540062434966,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,gd,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,143.0,0.03935616556555033,cliffs_delta_comparison_minus_reference,0.25494276795005205,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,gd,MOSADE,MOSADE_single_S1,lower,paired,wilcoxon_signed_rank,96.0,0.0021575288847088814,cliffs_delta_comparison_minus_reference,0.48595213319458896,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,gd,MOSADE,MOSADE_single_S2,lower,paired,wilcoxon_signed_rank,245.0,0.9614869365468621,cliffs_delta_comparison_minus_reference,-0.007284079084287201,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,gd,MOSADE,MOSADE_single_S3,lower,paired,wilcoxon_signed_rank,0.0,9.313225746154785e-10,cliffs_delta_comparison_minus_reference,1.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,gd,MOSADE,MOSADE_single_S4,lower,paired,wilcoxon_signed_rank,177.0,0.16942174453288317,cliffs_delta_comparison_minus_reference,-0.186264308012487,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,gd,MOSADE,MOSADE_uniform_strategy,lower,paired,wilcoxon_signed_rank,189.0,0.25557575561106205,cliffs_delta_comparison_minus_reference,0.08220603537981269,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,spread,MOSADE,MOSADE_domselect,lower,paired,wilcoxon_signed_rank,182.0,0.20231117121875286,cliffs_delta_comparison_minus_reference,0.21956295525494277,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,spread,MOSADE,MOSADE_eps_zero,lower,paired,wilcoxon_signed_rank,0.0,nan,cliffs_delta_comparison_minus_reference,0.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,spread,MOSADE,MOSADE_fixed_eps,lower,paired,wilcoxon_signed_rank,0.0,nan,cliffs_delta_comparison_minus_reference,0.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,spread,MOSADE,MOSADE_fixed_eps_initial,lower,paired,wilcoxon_signed_rank,0.0,nan,cliffs_delta_comparison_minus_reference,0.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,spread,MOSADE,MOSADE_no_restart,lower,paired,wilcoxon_signed_rank,211.0,0.4797733975574374,cliffs_delta_comparison_minus_reference,-0.10093652445369407,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,spread,MOSADE,MOSADE_shared_memory,lower,paired,wilcoxon_signed_rank,192.0,0.28106469474732876,cliffs_delta_comparison_minus_reference,-0.22580645161290322,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,spread,MOSADE,MOSADE_single_S1,lower,paired,wilcoxon_signed_rank,234.0,0.7942198486998677,cliffs_delta_comparison_minus_reference,-0.05723204994797086,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,spread,MOSADE,MOSADE_single_S2,lower,paired,wilcoxon_signed_rank,226.0,0.6776954075321555,cliffs_delta_comparison_minus_reference,-0.02809573361082206,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
DASCMOP7_difficulty7,spread,MOSADE,MOSADE_single_S3,lower,paired,wilcoxon_signed_rank,11.0,5.122274160385132e-08,cliffs_delta_comparison_minus_reference,0.8168574401664932,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
