experiment_group,problem,variant,metric,direction,n_runs,median,iqr,mean,std,min,max,rank,best_flag,status,formal_experiment_source_snapshot_sha256,postprocessing_source_snapshot_sha256
A5,WFG4,MOSADE,hv,higher,31,6.242636381977554,0.004359780164602256,6.242348505562425,0.00649405766958595,6.226748718178953,6.2536318932290005,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG4,MOSADE_domselect,hv,higher,31,6.245628579662122,0.00896471862008319,6.244041236290601,0.006665521193665356,6.2276444473669335,6.252446886533082,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG4,MOSADE,igd,lower,31,0.006095186217672537,0.0007605974281813289,0.006129610628232514,0.0005583151318158592,0.004952022000469641,0.006967263346599853,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG4,MOSADE_domselect,igd,lower,31,0.0063630319999574605,0.0006131234927209735,0.006331502158855085,0.00044602611492468124,0.00538218804402916,0.007158411409423756,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG4,MOSADE,igd_plus,lower,31,0.0031103058396720878,0.00039237606546436857,0.003122599766419811,0.000287909041734073,0.0026925890250618996,0.004008431336330427,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG4,MOSADE_domselect,igd_plus,lower,31,0.0037816876864596206,0.00047602266456804165,0.003796918510655308,0.00036639098056328066,0.0032285347867249846,0.004699099652884775,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG4,MOSADE,spread,lower,31,0.26498119392147557,0.013671961265779409,0.26265639392049533,0.010066329698011921,0.24154219602317012,0.2834033560917601,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG4,MOSADE_domselect,spread,lower,31,0.26702464774920975,0.01734275200375268,0.2666990449102429,0.01135154293882478,0.24600519011990962,0.2928802760324166,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG4,MOSADE,time_s,lower,31,427.9995221999998,14.980204150007921,426.8803947483877,23.894274123460825,323.3253984999901,460.6137585999968,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG4,MOSADE_domselect,time_s,lower,31,785.9978831000044,40.71352649999608,778.9900906838734,47.46300820510785,564.8026151000231,845.7051874000172,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG9,MOSADE,gd,lower,31,0.0011948671258157502,2.0692937094278583e-05,0.0011928866342660214,1.195721393915364e-05,0.0011687902516641778,0.0012136318694193286,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG9,MOSADE_domselect,gd,lower,31,0.0012221781889932403,1.9412868870898525e-05,0.001223261911088728,1.3520168683689103e-05,0.0011967579753104222,0.0012483447062626258,2,False,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A5,WFG9,MOSADE,hv,higher,31,9.878076433441954,0.005665714896482044,9.877747914874762,0.00430403307235929,9.86765590162166,9.886437240314164,1,True,usable_full,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
