problem,algorithm,metric,direction,n_runs,median,iqr,mean,std,min,max,n_unsupported,n_failed
WFG9,MOSADE,hv,higher,31,9.878076433441954,0.005665714896482044,9.877747914874762,0.00430403307235929,9.86765590162166,9.886437240314164,0,0
WFG9,MOSADE,igd,lower,31,0.009536291066189298,0.0004425088805648861,0.009588625520133988,0.0003536867821494801,0.008765892558755066,0.010413600432242154,0,0
WFG9,MOSADE,igd_plus,lower,31,0.007735679243713227,0.00012138063029209015,0.007749862090026505,8.973337669164216e-05,0.007519452577706792,0.007927770010544169,0,0
WFG9,MOSADE,gd,lower,31,0.0011948671258157502,2.0692937094278583e-05,0.0011928866342660214,1.195721393915364e-05,0.0011687902516641778,0.0012136318694193286,0,0
WFG9,MOSADE,spread,lower,31,0.24813516868980418,0.017079978409263286,0.2487332595880766,0.011414627011329255,0.22002635456833872,0.2701158303793068,0,0
WFG9,MOSADE,time_s,lower,31,737.0824795000008,106.25787964999836,793.5473507290322,113.58349382691875,521.972652599994,1007.9067530000029,0,0
WFG9,MOSADE_eps_zero,hv,higher,31,9.878076433441954,0.005665714896482044,9.877747914874762,0.00430403307235929,9.86765590162166,9.886437240314164,0,0
WFG9,MOSADE_eps_zero,igd,lower,31,0.009536291066189298,0.0004425088805648861,0.009588625520133988,0.0003536867821494801,0.008765892558755066,0.010413600432242154,0,0
WFG9,MOSADE_eps_zero,igd_plus,lower,31,0.007735679243713227,0.00012138063029209015,0.007749862090026505,8.973337669164216e-05,0.007519452577706792,0.007927770010544169,0,0
WFG9,MOSADE_eps_zero,gd,lower,31,0.0011948671258157502,2.0692937094278583e-05,0.0011928866342660214,1.195721393915364e-05,0.0011687902516641778,0.0012136318694193286,0,0
WFG9,MOSADE_eps_zero,spread,lower,31,0.24813516868980418,0.017079978409263286,0.2487332595880766,0.011414627011329255,0.22002635456833872,0.2701158303793068,0,0
WFG9,MOSADE_eps_zero,time_s,lower,31,702.1243718999976,12.32064895000076,695.9442872806445,34.57076212946122,519.2348555999997,723.4874902999945,0,0
WFG9,MOSADE_fixed_eps_initial,hv,higher,31,9.878076433441954,0.005665714896482044,9.877747914874762,0.00430403307235929,9.86765590162166,9.886437240314164,0,0
WFG9,MOSADE_fixed_eps_initial,igd,lower,31,0.009536291066189298,0.0004425088805648861,0.009588625520133988,0.0003536867821494801,0.008765892558755066,0.010413600432242154,0,0
WFG9,MOSADE_fixed_eps_initial,igd_plus,lower,31,0.007735679243713227,0.00012138063029209015,0.007749862090026505,8.973337669164216e-05,0.007519452577706792,0.007927770010544169,0,0
