experiment_group,problem,metric,direction,reference_variant,comparison_variant,n_ref,n_cmp,n_pairs,n_nonzero_differences,n_nan_ref,n_nan_cmp,n_inf_ref,n_inf_cmp,n_unique_ref,n_unique_cmp,test_name,paired,test_executed,holm_included,p_value_raw,p_value_holm,effect_size_name,effect_size,effect_direction,status,reason_class,report_status,interpretation,formal_experiment_source_snapshot_sha256,postprocessing_source_snapshot_sha256
A4,ZDT1,hv,higher,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.01319857221096754,0.01319857221096754,cliffs_delta_comparison_minus_reference,0.3631633714880333,comparison_better,test_ok,none,usable_statistical,Significant after Holm; comparison variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT1,igd,lower,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.7942198486998677,0.7942198486998677,cliffs_delta_comparison_minus_reference,0.013527575442247659,reference_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT1,igd_plus,lower,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.010358627885580063,0.010358627885580063,cliffs_delta_comparison_minus_reference,-0.3881373569198751,comparison_better,test_ok,none,usable_statistical,Significant after Holm; comparison variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT1,gd,lower,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.3081742124632001,0.3081742124632001,cliffs_delta_comparison_minus_reference,-0.16545265348595214,comparison_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT1,spread,lower,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.012432587333023548,0.012432587333023548,cliffs_delta_comparison_minus_reference,-0.331945889698231,comparison_better,test_ok,none,usable_statistical,Significant after Holm; comparison variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT1,time_s,lower,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.00045317597687244415,0.00045317597687244415,cliffs_delta_comparison_minus_reference,0.5234131113423517,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT3,hv,higher,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.0008311951532959938,0.0008311951532959938,cliffs_delta_comparison_minus_reference,0.5920915712799167,comparison_better,test_ok,none,usable_statistical,Significant after Holm; comparison variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT3,igd,lower,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.0029005883261561394,0.0029005883261561394,cliffs_delta_comparison_minus_reference,-0.4630593132154006,comparison_better,test_ok,none,usable_statistical,Significant after Holm; comparison variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT3,igd_plus,lower,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.0018533961847424507,0.0018533961847424507,cliffs_delta_comparison_minus_reference,-0.43184183142559834,comparison_better,test_ok,none,usable_statistical,Significant after Holm; comparison variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT3,gd,lower,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.13016566075384617,0.13016566075384617,cliffs_delta_comparison_minus_reference,-0.1571279916753382,comparison_better,test_ok,none,usable_descriptive,No Holm-significant difference; use descriptive wording only.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT3,spread,lower,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.00026073306798934937,0.00026073306798934937,cliffs_delta_comparison_minus_reference,-0.6462018730489074,comparison_better,test_ok,none,usable_statistical,Significant after Holm; comparison variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
A4,ZDT3,time_s,lower,MOSADE,MOSADE_no_restart,31,31,31,31,0,0,0,0,31,31,wilcoxon_signed_rank,True,True,True,0.0031182998791337013,0.0031182998791337013,cliffs_delta_comparison_minus_reference,0.3215400624349636,reference_better,test_ok,none,usable_statistical,Significant after Holm; reference variant is better for this metric.,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6
