result_dir,problem,algorithm,seed,run_dir,status,status_reason,n_evals,n_solutions,n_feasible_final,feasibility_ratio,pf_source,hv,igd,igd_plus,gd,spread,time_s
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE,232150720,results/a5_ablation_domselect/DASCMOP7_difficulty7/MOSADE/run_020,ok,,300064,182,182,1.0,archive,110911.67923501733,0.03177725257292374,0.02232667117801705,0.0009059969300305714,0.017935816960120227,327.376113300008
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE,2324106676,results/a5_ablation_domselect/DASCMOP7_difficulty7/MOSADE/run_021,ok,,300055,182,182,1.0,archive,110916.29551993828,0.03432312701487287,0.024709215806674654,0.0009217757613360948,0.01705436131624934,317.5272183000052
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE,1658700540,results/a5_ablation_domselect/DASCMOP7_difficulty7/MOSADE/run_022,ok,,300046,182,182,1.0,archive,110915.86552181955,0.032458097039334464,0.022776399710093136,0.0009526204017431126,0.01885463511311816,318.3919569000136
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE,609942288,results/a5_ablation_domselect/DASCMOP7_difficulty7/MOSADE/run_023,ok,,300064,182,182,1.0,archive,110917.96964868977,0.03284337956399297,0.0230213368144916,0.0008357574105523208,0.016640330770747138,309.21620530000655
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE,3405943863,results/a5_ablation_domselect/DASCMOP7_difficulty7/MOSADE/run_024,ok,,300046,182,182,1.0,archive,110914.23065382516,0.03169516865548861,0.022057874664599006,0.0009169785231692561,0.016861337575871483,315.63164239999605
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE,2257503667,results/a5_ablation_domselect/DASCMOP7_difficulty7/MOSADE/run_025,ok,,300046,182,182,1.0,archive,110907.16666826807,0.033297837903140004,0.0244658309026885,0.0010317494038370322,0.015511467336416757,337.91005729997414
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE,4018327298,results/a5_ablation_domselect/DASCMOP7_difficulty7/MOSADE/run_026,ok,,300055,182,182,1.0,archive,110915.46290292873,0.0326067020680379,0.022675982594429663,0.000882921502163825,0.017458952206109574,326.33308670000406
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE,2224437599,results/a5_ablation_domselect/DASCMOP7_difficulty7/MOSADE/run_027,ok,,300046,182,182,1.0,archive,110909.45980791871,0.03233450288807739,0.022716832318768174,0.0008832927149482492,0.015362188462770704,324.2892647999979
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE,168388230,results/a5_ablation_domselect/DASCMOP7_difficulty7/MOSADE/run_028,ok,,300046,182,182,1.0,archive,110908.90388870287,0.032447811189818085,0.023590570282934216,0.0009482997221050761,0.01706444884701438,324.4130443999893
results/a5_ablation_domselect,DASCMOP7_difficulty7,MOSADE,911875363,results/a5_ablation_domselect/DASCMOP7_difficulty7/MOSADE/run_029,ok,,300055,182,182,1.0,archive,110916.70043432672,0.0317511368395354,0.023315239558989037,0.0009067888169488019,0.016697121821582755,323.69854750001105
